tot_cnt,no,isu_cd,eng_cor_nm,std_ind_cd,ind_nm,lst_stk_vl,cpt,par_pr,iso_cd,Exchange
849,511,015260,A &amp; P,032602,Manufacture of Electronic Components,"45,116,894","22,558,447,000",500,KRW,KOSPI
849,514,244920,A Plus Asset,116602,Activities Auxiliary to Insurance and Pension Funding,"22,607,693","11,303,846,500",500,KRW,KOSPI
849,509,140910,A REIT,126801,Real Estate Activities with Own or Leased Property,"4,463,032","22,315,160,000","5,000",KRW,KOSPI
849,510,078520,ABLE C&amp;C,032004,Manufacture of Other Chemical Products,"26,014,161","13,516,729,500",500,KRW,KOSPI
849,497,018250,AEKYUNG INDUSTRIAL,032004,Manufacture of Other Chemical Products,"26,409,935","26,409,935,000","1,000",KRW,KOSPI
849,1,095570,AJ Networks,147603,Renting of Industrial Machinery and Equipment,"45,252,759","46,822,295,000","1,000",KRW,KOSPI
849,495,009320,AJIN ELEC COMPONENTS,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"49,299,770","24,649,885,000",500,KRW,KOSPI
849,494,139990,AJUSTEEL,032401,Manufacture of Basic Iron and Steel,"38,755,414","19,377,707,000",500,KRW,KOSPI
849,498,161000,AK CHEMICAL,032001,Manufacture of Basic Chemicals,"48,648,709","24,324,354,500",500,,KOSPI
849,2,006840,AK Holdings,116409,Other Financial Intermediation,"13,247,561","66,237,805,000","5,000",KRW,KOSPI
849,496,001780,ALUKO,032402,Manufacture of Basic Precious and Non-ferrous Metals,"96,830,132","48,415,066,000",500,KRW,KOSPI
849,482,090430,AMOREPACIFIC,032004,Manufacture of Other Chemical Products,"58,492,759","34,525,294,500",500,KRW,KOSPI
849,483,002790,AMOREPACIFIC Holdings,032004,Manufacture of Other Chemical Products,"79,458,180","47,997,075,000",500,KRW,KOSPI
849,481,008700,ANAM ELEC,032605,Manufacture of Electronic Video and Audio Equipment,"77,124,820","38,562,410,000",500,KRW,KOSPI
849,515,278470,APR,032004,Manufacture of Other Chemical Products,"37,430,655","3,892,839,000",100,KRW,KOSPI
849,485,183190,ASIA CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","37,346,770","19,479,045,000",500,KRW,KOSPI
849,484,002030,ASIA HOLDINGS,137105,"Activities of Head Offices, Management Consultancy Activities","2,084,140","10,955,120,000","5,000",KRW,KOSPI
849,486,002310,ASIA PAPR MFG,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","41,632,510","44,782,510,000","1,000",KRW,KOSPI
849,178,017900,AUK,032601,Manufacture of Semiconductor,"57,943,763","28,971,881,500",500,KRW,KOSPI
849,508,298690,Air Busan,085101,Passenger Air Transport,"116,640,000","116,640,000,000","1,000",KRW,KOSPI
849,512,007460,Aprogen,032509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,"326,707,628","163,353,814,000",500,KRW,KOSPI
849,513,003060,Aprogen Biologics,032102,Manufacture of Medicaments,"198,407,845","99,203,922,500",500,KRW,KOSPI
849,487,012170,Ascendio,105901,"Motion Picture, Video, Broadcasting Programmes Production and Distribution","10,873,743","5,436,871,500",500,KRW,KOSPI
849,489,020560,Asiana Airlines,085101,Passenger Air Transport,"205,990,711","1,029,953,555,000","5,000",KRW,KOSPI
849,488,267850,AsianaIDT,106201,"Computer programming, System Integration and Management Services","11,100,000","5,550,000,000",500,KRW,KOSPI
849,350,035150,BAIKSAN,032202,Manufacture of Plastic Products,"21,001,967","14,145,000,000",500,KRW,KOSPI
849,3,027410,BGF,116409,Other Financial Intermediation,"95,716,791","95,716,791,000","1,000",,KOSPI
849,4,282330,BGF Retail,074701,Retail Sale in Non-Specialized Stores,"17,283,906","17,283,906,000","1,000",KRW,KOSPI
849,363,090460,BH,032602,Manufacture of Electronic Components,"34,464,379","17,232,189,500",500,KRW,KOSPI
849,364,005180,BINGGRAE,031004,"Manufacture of vegetable and animal oils and fats, dairy products","9,555,703","49,756,205,000","5,000",KRW,KOSPI
849,5,138930,BNK Financial Group,116409,Other Financial Intermediation,"314,425,154","1,629,676,230,000","5,000",KRW,KOSPI
849,355,000890,BOHAE BREW,031101,Manufacture of  Alcoholic Beverages,"139,120,129","69,560,064,500",500,KRW,KOSPI
849,353,002760,BOLAK,032004,Manufacture of Other Chemical Products,"59,900,000","11,980,000,000",200,KRW,KOSPI
849,357,001270,BOOKOOK SECU,116601,Activities Auxiliary to Financial Service Activities,"10,369,886","66,849,430,000","5,000",KRW,KOSPI
849,356,003000,BUKWANG PHARM,032102,Manufacture of Medicaments,"98,664,671","51,506,993,000",500,KRW,KOSPI
849,351,002410,BUMYANG CONST,064101,Building Construction,"27,479,820","27,479,820,000","1,000",KRW,KOSPI
849,359,011390,BUSAN IND,032303,"Manufacture of Cement, Lime and Plaster and Its Products","1,056,000","5,280,000,000","5,000",KRW,KOSPI
849,6,001460,BYC,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","6,246,150","4,200,000,000",500,KRW,KOSPI
849,352,007210,BYUKSAN,032309,Manufacture of Other Non-metallic Mineral Products,"66,860,000","34,280,000,000",500,KRW,KOSPI
849,348,377740,BioNote,032103,Manufacture of Medical Supplies and Related Other Medicaments,"102,056,048","51,028,024,000",500,KRW,KOSPI
849,358,026940,Bookook Steel,032401,Manufacture of Basic Iron and Steel,"20,000,000","10,000,000,000",500,KRW,KOSPI
849,354,003850,Boryung,032102,Manufacture of Medicaments,"85,787,207","43,393,603,500",500,KRW,KOSPI
849,198,013700,CAMUS E&amp;C,064101,Building Construction,"59,750,830","29,875,415,000",500,KRW,KOSPI
849,645,006380,CAPRO,032001,Manufacture of Basic Chemicals,"168,999,996","84,499,998,000",500,KRW,KOSPI
849,429,002420,CENTURY,074707,Retail Sale of Fuel,"5,969,948","2,984,974,000",500,KRW,KOSPI
849,641,033250,CHASYS,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"32,000,000","16,000,000,000",500,KRW,KOSPI
849,612,001560,CHEIL GRINDING WHEE,032309,Manufacture of Other Non-metallic Mineral Products,"9,800,000","5,000,000,000",500,KRW,KOSPI
849,632,003780,CHIN YANG INDUSTRY,032202,Manufacture of Plastic Products,"13,000,000","6,500,000,000",500,KRW,KOSPI
849,638,002780,CHINHUNG INT,064102,Heavy Construction,"145,471,745","73,311,885,500",500,KRW,KOSPI
849,634,100250,CHINYANG HOLDINGS,032202,Manufacture of Plastic Products,"55,895,292","27,947,646,000",500,KRW,KOSPI
849,633,010640,CHINYANGPOLYURETHANE,032202,Manufacture of Plastic Products,"10,000,000","5,000,000,000",500,KRW,KOSPI
849,618,001550,CHOBI,032003,"Manufacture of Fertilizers, Pesticides, Germicides and Insecticides","5,192,239","25,961,195,000","5,000",KRW,KOSPI
849,622,002600,CHOHEUNG,031008,Manufacture of Other Food Products,"600,000","3,000,000,000","5,000",KRW,KOSPI
849,621,018470,CHOIL ALUMINUM,032402,Manufacture of Basic Precious and Non-ferrous Metals,"126,631,721","63,315,860,500",500,KRW,KOSPI
849,617,004700,CHOKWANG LEAT,031501,"Manufacture of Luggage, Footwear and Similar Products","6,649,138","34,245,690,000","5,000",KRW,KOSPI
849,616,004910,CHOKWANG PAINT,032004,Manufacture of Other Chemical Products,"12,800,000","6,400,000,000",500,KRW,KOSPI
849,605,000950,CHONBANG,031301,Spinning of Textiles and Processing of Threads and Yarns,"1,680,000","8,400,000,000","5,000",KRW,KOSPI
849,623,185750,CHONGKUNDANG,032102,Manufacture of Medicaments,"13,802,780","34,506,950,000","2,500",KRW,KOSPI
849,625,001630,CHONGKUNDANG HOLDINGS,032102,Manufacture of Medicaments,"5,009,861","12,524,652,500","2,500",KRW,KOSPI
849,620,120030,CHOSUN WELDING,032509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,"1,257,651","628,825,500",500,KRW,KOSPI
849,640,000650,CHUNIL EXP,084902,Transit and Ground Passenger Transportation,"1,429,220","7,146,100,000","5,000",KRW,KOSPI
849,477,004920,CITECH,032605,Manufacture of Electronic Video and Audio Equipment,"50,065,793","25,032,896,500",500,KRW,KOSPI
849,7,001040,CJ,116409,Other Financial Intermediation,"29,176,998","179,047,370,000","5,000",KRW,KOSPI
849,8,079160,CJ CGV,105901,"Motion Picture, Video, Broadcasting Programmes Production and Distribution","165,581,235","82,790,617,500",500,KRW,KOSPI
849,11,097950,CJ CHEILJEDANG,031008,Manufacture of Other Food Products,"15,054,186","81,908,095,000","5,000",KRW,KOSPI
849,9,000120,CJ Logistics,084903,Road Freight Transport,"22,812,344","114,061,720,000","5,000",KRW,KOSPI
849,10,011150,CJ SEAFOOD,031008,Manufacture of Other Food Products,"35,930,773","18,065,386,500",500,KRW,KOSPI
849,479,480370,CK SOLUTION,137201,"Architectural, Engineering and Related Technical Services","10,934,861","1,093,486,100",100,KRW,KOSPI
849,624,063160,CKD Bio,032102,Manufacture of Medicaments,"5,485,962","13,714,905,000","2,500",KRW,KOSPI
